author,name,year,genres,isRead,isReread,series,seriesOrder,isOnShelf,fieldOfStudy,shelf
Дроздова,everyday english,2008,учебная литература,FALSE,,,,TRUE,английский,учебка
Дроздова,English grammar,2006,учебная литература,FALSE,,,,TRUE,английский,учебка
Фастовец,Практика английской речи,2006,учебная литература,TRUE,FALSE,,,TRUE,английский,учебка
Macmillan,English Dictionary,2006,учебная литература,FALSE,,,,TRUE,английский,учебка
ю.голицынский ,грамматика. сборник упражнений,2005,учебная литература,TRUE,FALSE,,,TRUE,английский,учебка
итан браун,веб-разработка с применением Node и Express,2021,учебная литература,FALSE,,,,TRUE,ИТ,учебка
адитья бхаргава,Грокаем алгоритмы,2021,учебная литература,TRUE,TRUE,,,TRUE,ИТ,учебка
билл вагнер,наиболее эффективное программирование на C#,2020,учебная литература,FALSE,,,,TRUE,ИТ,учебка
Джереми Гибсон Бонд,unity и c# геймдев от идеи до реализации,2019,учебная литература,FALSE,,,,TRUE,ИТ,учебка
артур конан дойл,затерянный мир,1991,научная фантастика,FALSE,,,,TRUE,,фантастика
,сумерки мира,1993,фантастика,FALSE,,,,TRUE,,фантастика
гарри гаррисон,запад эдема,1992,"роман, фантастика",FALSE,,,,TRUE,,фантастика
"Эндрю Нортон, Роджер Желязны, Роберт Хайнлайн",Фантастика,1992,"сборник, фантастика",FALSE,,,,TRUE,,фантастика
Джордж Р.Р. Мартин,Пламя и кровь,2019,фэнтези,TRUE,FALSE,,,TRUE,,фентезятина
"роберт джордан, тереза паттерсон",колесо времени. иллюстрированная энциклопедия,2022,нонфик,FALSE,,Колесо времени,,TRUE,,фентезятина
брэм стокер,дракула,2025,роман,FALSE,,,,TRUE,,фентезятина
Карл поланьи,великая трансформация. политические и экономические истоки нашего времени,2018,,FALSE,,,,TRUE,,нонфик
яков перельман,занимательная физика,2025,нонфик,FALSE,,,,TRUE,,нонфик
райан норт,как изобрести всё,2025,нонфик,FALSE,,,,TRUE,,нонфик
урсула ле гуин,волшебник земноморья,1992,фэнтези,FALSE,,Цикл о Земноморье,3,TRUE,,фентезятина
александра александрова,пёс его знает,2023,нонфик,FALSE,,,,TRUE,собаководство,собачье дело
екатерина нигова,"чем и как кормить собаку, чтобы не навредить",2024,учебная литература,TRUE,,,,TRUE,собаководство,собачье дело
"Екатерина Казакова, Алена Харитонова",Жнецы страданий,2023,фэнтези,TRUE,,Ходящие в ночи,1,FALSE,,
"Екатерина Казакова, Алена Харитонова",Наследники скорби,2023,фэнтези,FALSE,,Ходящие в ночи,2,FALSE,,
"Екатерина Казакова, Алена Харитонова",Пленники раздора,2023,фэнтези,FALSE,,Ходящие в ночи,3,FALSE,,
Роберт Джордан,Око мира,1990,фэнтези,TRUE,,Колесо времени,1,FALSE,,
Роберт Джордан,Великая охота,1990,фэнтези,TRUE,,Колесо времени,2,FALSE,,
Роберт Джордан,Возрождённый дракон,1991,фэнтези,TRUE,,Колесо времени,3,FALSE,,
Роберт Джордан,Тень восходящая,1992,фэнтези,TRUE,,Колесо времени,4,FALSE,,
Роберт Джордан,Огни Небес,1993,фэнтези,TRUE,,Колесо времени,5,FALSE,,
Роберт Джордан,Повелитель хаоса,1994,фэнтези,TRUE,,Колесо времени,6,FALSE,,
Роберт Джордан,Корона мечей,1996,фэнтези,FALSE,,Колесо времени,7,FALSE,,
Роберт Джордан,Путь кинжалов,1998,фэнтези,FALSE,,Колесо времени,8,FALSE,,
Роберт Джордан,Зима сердца,2000,фэнтези,FALSE,,Колесо времени,9,FALSE,,
Роберт Джордан,Перекрёстки сумерек,2003,фэнтези,FALSE,,Колесо времени,10,FALSE,,
Роберт Джордан,Нож грёз,2005,фэнтези,FALSE,,Колесо времени,11,FALSE,,
"Роберт Джордан, Брендон Сандерсон",Гроза бурь,2009,фэнтези,FALSE,,Колесо времени,12,FALSE,,
"Роберт Джордан, Брендон Сандерсон",Башни Полуночи,2010,фэнтези,FALSE,,Колесо времени,13,FALSE,,
"Роберт Джордан, Брендон Сандерсон",Память Света,2013,фэнтези,FALSE,,Колесо времени,14,FALSE,,
Роберт Джордан,Новая весна,2004,фэнтези,FALSE,,Колесо времени,0,FALSE,,
Ребекка Яррос,Четвёртое крыло,2023,роментези,TRUE,,Эмпирей,1,FALSE,,
Ребекка Яррос,Железное пламя,2023,роментези,TRUE,,Эмпирей,2,FALSE,,
Ребекка Яррос,Ониксовый шторм,2025,роментези,TRUE,,Эмпирей,3,FALSE,,
