author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Скарлетт СентКлэр,Прикосновение тьмы,,,,,,,,,,,
Стивен Фрай,Греческие мифы в пересказе,,,,,,,,,,,
,Старшая эдда ,,,TRUE,,,,,,,,
,Скандинавские мифы,,,TRUE,,,,,,,,
,Греческие и римские мифы,,,TRUE,,,,,,,,
Розали Гилберт,"Интимное Средневековье. Истории о страсти и целомудрии, поясах верности и приворотных снадобьях",,,FALSE,,,,,,,,
Филипп Матышак,Древняя магия. От драконов и оборотней до зелий и защиты от тёмных сил,,,TRUE,,,,,,,,
Ли Бардуго,Девятый дом ,,,,,,,,,,,
Анджей Сапковский,Кровь эльфов ,,,TRUE,Ведьмак,3,,,,,,
Анджей Сапковский,Час презрения,,,TRUE,Ведьмак,4,,,,,,
Элизабет Фримантл,В тени королевы ,,,FALSE,Трилогия Тюдоров,1,,,,,,
Элизабет Фримантл,Гамбит королевы ,,,FALSE,Трилогия Тюдоров,2,,,,,,
Керри Манискалко,Охота на Джекапотрошителя. Охота на князя Дракулу,,,FALSE,Охота на Джекапотрошителя,"1,2",,,,,,
Керри Манискалко,Побег от Гудини. Охота на дьявола,,,FALSE,Охота на Джекапотрошителя,"3,4",,,,,,
Керри Манискалко,Царство проклятых ,,,FALSE,Царство Греха,2,,,,,,
Керри Манискалко,Царство греха,,,FALSE,Царство Греха,1,,,,,,
Ли Бардуго,Шестёрка воронов,,,TRUE,Шестерка воронов,1,,,,,,
Ли Бардуго,Продажное королество,,,FALSE,Шестерка воронов,2,,,,,TRUE,
Донато Карризи,Потерянные девушки Рима,,,FALSE,,,,,,,,
Евгения Сафонова ,Лунный ветер,,,TRUE,,,,,,,,
Мария Токарева ,Голод Рехи,,,FALSE,,,,,,,,
