author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
анатолий баранов,для любимой собаки,1991,,FALSE,,,TRUE,собаководство,нонфик,FALSE,FALSE,FALSE
Андрей некрасов,приключения капитана врунгеля,1988,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
андрей юркевич,сам себе дрессировщик,2019,,TRUE,,,TRUE,собаководство,нонфик,FALSE,FALSE,FALSE
артур конан дойл,затерянный мир,1991,,FALSE,,,TRUE,,фантастика,FALSE,FALSE,FALSE
билл вагнер,наиболее эффективное программирование на C#,2020,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
Бром,"Крампус, повелитель Йоля",2018,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
брэм стокер,дракула,2025,,FALSE,,,TRUE,,фентезятина,FALSE,FALSE,FALSE
Валентин Пикуль,Собрание сочинений,1992,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
вальтер скотт,айвенго,1984,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
владимир короткевич,"чёрный замок ольшанский, дикая охота короля стаха",1984,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
гарри гаррисон,запад эдема,1992,,FALSE,,,TRUE,,фантастика,FALSE,FALSE,FALSE
генри райдер хаггард,"копи царя соломона, прекрасная маргарет",1991,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
Густав Эмар,Сурикэ,1991,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
данте алигьери,божественная комедия,1986,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
Дж.К.Роулинг,Случайная вакансия,2013,,FALSE,,,TRUE,,современное,FALSE,FALSE,FALSE
Джейн Остин,Гордость и предубеждение,2020,,TRUE,,,TRUE,,классика,FALSE,FALSE,FALSE
Джереми Гибсон Бонд,unity и c# геймдев от идеи до реализации,2019,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
джесси шелл,гейм дизайн,2019,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
джефри рихтер,clr via c#,2020,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
Джон Рональд Руэл Толкин,легенда о Сигурда и гудрун,2011,фэнтези,FALSE,,,TRUE,,фентезятина,FALSE,FALSE,FALSE
Джордж Р.Р. Мартин,Пламя и кровь,2019,,TRUE,,,TRUE,,фентезятина,FALSE,FALSE,FALSE
Дроздова,English grammar,2006,,FALSE,,,TRUE,английский,учебка,FALSE,FALSE,FALSE
Дроздова,everyday english,2008,,FALSE,,,TRUE,английский,учебка,FALSE,FALSE,FALSE
екатерина нигова,"чем и как кормить собаку, чтобы не навредить",2024,,TRUE,,,TRUE,собаководство,собачье дело,FALSE,FALSE,FALSE
"и.ильф, е.петров","двенадцать стульев, золотой телёнок",1987,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
Иван Сергеевич Тургенев,записки охотника,1984,,TRUE,,,TRUE,,классика,FALSE,FALSE,FALSE
иван сергеевич тургенев,"накануне, отцы и дети",1978,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
итан браун,веб-разработка с применением Node и Express,2021,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
К.С.Льюис,хроники нарнии,2007,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
карен пррайор,не рычите на собаку,2022,,TRUE,,,TRUE,собаководство,нонфик,FALSE,FALSE,FALSE
карл мэй,виннету,1992,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
Карл поланьи,великая трансформация. политические и экономические истоки нашего времени,2018,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
колин маккалоу,поющие в терновнике,1991,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
кэролин ларрингтон,скандинавские мифы,2022,,TRUE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Мадлен Пакетт Джастин Хэммек,Вино. Практический путеводитель,2022,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
макс фрай,мой рагнарёк,2015,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
Марина Влади,"Владимир, или прерванный полёт",1989,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
марк твен,приключения гекльберри финна,1981,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
михаил булгаков,"мастер и маргарита, белая гвардия",1980,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
никколо макиавелли,государь,1997,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
николай островский,как закалялась сталь,1976,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
Нил Гейман,американские боги,2014,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
нил гейман,коралина,2014,,FALSE,,,TRUE,,современное,FALSE,FALSE,FALSE
нил гейман,никогде,2015,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
нил гейман,скандинавские боги,2017,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
"Нил Гейман, Терри Пратчетт",благие знамения,2024,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
Ольга Лиманец,Ведьмак. Неофициальная кулинарная книга,2023,,TRUE,,,TRUE,,Ведьмак,FALSE,FALSE,FALSE
ольга филатова,"облачно, возможны косатки",2024,,TRUE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
райан норт,как изобрести всё,2025,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Редьярд Киплинг,Сказки старой Англии,2014,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
сергей орлов,теория и практика языков программирования,2013,,FALSE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
Слава Сэ,"Сантехник, его кот, жена и другие подробности",2011,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
Слава Сэ,Сантехник. Твоё моё колено,2014,,TRUE,,,TRUE,,современное,FALSE,FALSE,FALSE
Стивен Хокинг и Леонард Млодинов,Высший замысел,2013,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Татьяна Муравьёва,Мифы Поволжья,2023,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
фарли моуэт,не кричи волки,2019,,TRUE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Фастовец,Практика английской речи,2006,,TRUE,,,TRUE,английский,учебка,FALSE,FALSE,FALSE
фёдор михайлович достоевский,преступление и наказание,1984,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
франсуаза саган ,повести,1983,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
хельмут райзер,шутцхунд,2014,,FALSE,,,TRUE,собаководство,нонфик,FALSE,FALSE,FALSE
Че Гевара,Боливийский дневник,2009,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Шон Байтелл,"Семь типов людей, которых можно встретить в книжном магазине",2021,,FALSE,,,TRUE,,современное,FALSE,FALSE,FALSE
"э. гамма, р.хелм, р.джонсон, д.влиссидес",приёмы объектно ориентированного программирования,2020,,TRUE,,,TRUE,ИТ,учебка,FALSE,FALSE,FALSE
"Эндрю Нортон, Роджер Желязны, Роберт Хайнлайн",Фантастика,1992,,FALSE,,,TRUE,,фантастика,FALSE,FALSE,FALSE
эрнест хемингуэй ,собрание сочинений. том 1,1968,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
эрнест хемингуэй ,собрание сочинений. том 2,1968,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
Эрнест Хемингуэй ,собрание сочинений. том 3,1968,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
эрнест хемингуэй ,собрание сочинений. том 4,1968,,FALSE,,,TRUE,,классика,FALSE,FALSE,FALSE
ю.голицынский ,грамматика. сборник упражнений,2005,,TRUE,,,TRUE,английский,учебка,FALSE,FALSE,FALSE
юлиан семёнов ,семнадцать мгновений весны,1984,,FALSE,,,TRUE,,старьёвщик,FALSE,FALSE,FALSE
Юрий Рост,Эверест-82,1984,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
яков перельман,занимательная физика,2025,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
Jane Austin,Pride and Prejudice,2019,,FALSE,,,TRUE,английский,классика,FALSE,FALSE,FALSE
Lewis Carroll,The Best of Lewis Carroll,2014,,FALSE,,,TRUE,английский,классика,FALSE,FALSE,FALSE
Macmillan,English Dictionary,2006,,FALSE,,,TRUE,английский,учебка,FALSE,FALSE,FALSE
Oscar Wilde ,Fairytales,1979,,FALSE,,,TRUE,английский,нонфик,FALSE,FALSE,FALSE
,гора самоцветов,1993,,TRUE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
,Конец света. Лучшие романы о последнем дне Земли,2011,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
,Старшая Эдда,1975,,FALSE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
,сумерки мира,1993,,FALSE,,,TRUE,,фантастика,FALSE,FALSE,FALSE
,Тысяча и одна ночь,1986,,TRUE,,,TRUE,,нонфик,FALSE,FALSE,FALSE
